id,type,lat,lon,install_date,last_maintenance,status,usage_level,region,depth_m,capacity_kw
ASSET-0001,borehole,9.83101,29.897837,2008-02-18,2010-07-06,degraded,high,Nairobi,31,
ASSET-0002,solar_system,-4.404056,29.372759,2016-05-02,2023-03-02,operational,low,Kampala,,33.02
ASSET-0003,solar_system,3.984181,30.563814,2005-02-23,2022-04-01,critical,medium,Harare,,18.0
ASSET-0004,borehole,14.144261,31.731891,2007-01-30,2015-09-07,operational,high,Lusaka,97,
ASSET-0005,solar_system,9.594636,35.724562,2013-06-28,2014-06-15,degraded,high,Kampala,,31.5
ASSET-0006,solar_system,-1.154228,26.391103,2019-11-01,2021-03-11,critical,high,Kisumu,,42.98
ASSET-0007,borehole,0.559472,37.713689,2013-03-08,2015-02-02,operational,low,Djibouti City,54,
ASSET-0008,borehole,7.699566,35.682798,2010-06-29,2014-03-28,operational,low,Mombasa,101,
ASSET-0009,borehole,11.857038,40.519998,2010-02-20,2010-12-09,critical,medium,Bujumbura,28,
ASSET-0010,borehole,12.527353,31.293558,2019-09-14,2022-08-01,operational,high,Kisumu,78,
ASSET-0011,borehole,-2.207394,39.89978,2017-02-02,2020-02-13,degraded,medium,Lilongwe,94,
ASSET-0012,solar_system,-0.613585,44.950752,2016-06-06,2022-01-17,operational,low,Asmara,,6.82
ASSET-0013,borehole,6.928181,32.695346,2018-05-14,2021-01-26,degraded,high,Mogadishu,21,
ASSET-0014,borehole,10.017556,40.371975,2012-08-18,2015-03-19,operational,low,Mwanza,20,
ASSET-0015,solar_system,10.239244,35.153633,2007-05-22,2021-06-29,operational,medium,Entebbe,,31.04
ASSET-0016,borehole,10.250216,35.787581,2022-06-19,2022-07-19,degraded,medium,Asmara,34,
ASSET-0017,solar_system,-0.210954,29.817432,2017-09-22,2018-09-09,operational,medium,Maputo,,4.86
ASSET-0018,borehole,8.195016,43.936974,2008-09-14,2014-09-24,degraded,medium,Addis Ababa,47,
ASSET-0019,borehole,2.979846,38.433739,2013-05-18,2018-05-16,critical,medium,Maputo,51,
ASSET-0020,borehole,1.761711,36.766174,2010-03-01,2023-06-11,operational,low,Dar es Salaam,100,
ASSET-0021,borehole,-3.651993,25.628259,2012-05-30,2014-01-30,degraded,low,Harare,82,
ASSET-0022,borehole,-2.353763,43.710285,2017-10-22,2023-03-11,operational,medium,Mwanza,72,
ASSET-0023,borehole,-3.061384,33.621024,2014-07-02,2019-03-11,operational,medium,Kigali,106,
ASSET-0024,borehole,3.052426,31.786052,2007-06-15,2013-02-09,operational,medium,Kampala,37,
ASSET-0025,solar_system,0.570903,29.996129,2006-09-10,2016-09-17,critical,high,Juba,,6.25
ASSET-0026,borehole,13.52734,41.973915,2008-09-24,2017-12-05,operational,low,Dar es Salaam,71,
ASSET-0027,borehole,2.579462,44.706177,2010-12-13,2021-03-27,operational,medium,Juba,113,
ASSET-0028,solar_system,-1.202043,29.354018,2006-04-25,2019-05-21,degraded,low,Addis Ababa,,16.71
ASSET-0029,borehole,4.53577,43.387743,2016-11-29,2018-10-04,operational,medium,Kisumu,43,
ASSET-0030,borehole,-3.640783,42.236384,2014-01-21,2015-06-26,offline,medium,Mombasa,94,
ASSET-0031,borehole,-3.360332,38.147463,2017-09-05,2023-08-16,operational,low,Mombasa,105,
ASSET-0032,solar_system,0.31229,27.617566,2019-06-24,2021-03-29,operational,high,Harare,,46.88
ASSET-0033,borehole,7.423185,36.259873,2007-03-31,2008-12-20,degraded,medium,Antananarivo,36,
ASSET-0034,solar_system,12.585405,32.390542,2008-07-16,2018-06-13,critical,medium,Dar es Salaam,,31.17
ASSET-0035,borehole,0.987575,38.267774,2008-01-06,2014-01-10,operational,low,Mwanza,90,
ASSET-0036,borehole,0.635125,29.212593,2012-09-09,2017-05-03,degraded,high,Lilongwe,84,
ASSET-0037,solar_system,13.10673,41.922074,2007-01-27,2021-05-19,operational,low,Lilongwe,,1.67
ASSET-0038,borehole,-1.76836,33.83671,2020-10-29,2023-04-22,degraded,low,Lilongwe,108,
ASSET-0039,borehole,-4.279437,32.38432,2017-05-24,2019-02-19,operational,low,Mwanza,66,
ASSET-0040,borehole,-0.798469,29.990595,2007-04-23,2015-04-28,critical,high,Asmara,72,
ASSET-0041,borehole,12.292114,44.524121,2008-12-21,2018-04-20,operational,medium,Harare,62,
ASSET-0042,solar_system,0.336114,40.74749,2007-06-05,2016-02-01,critical,high,Harare,,12.29
ASSET-0043,solar_system,1.103817,40.90691,2010-02-08,2015-03-10,operational,low,Asmara,,17.42
ASSET-0044,borehole,2.022923,35.188114,2020-03-29,2023-05-01,operational,low,Lilongwe,53,
ASSET-0045,borehole,14.250686,30.309327,2007-06-08,2020-11-23,operational,medium,Kisumu,60,
ASSET-0046,solar_system,14.684717,27.312916,2017-12-07,2020-02-23,operational,medium,Mombasa,,1.58
ASSET-0047,borehole,3.625948,43.97749,2012-05-28,2019-07-12,degraded,low,Asmara,58,
ASSET-0048,solar_system,1.523658,38.944168,2017-06-08,2018-12-11,operational,medium,Mogadishu,,19.89
ASSET-0049,borehole,6.382105,33.121503,2005-01-04,2011-11-28,operational,medium,Mombasa,94,
ASSET-0050,solar_system,3.83572,38.512545,2016-06-19,2021-11-08,critical,high,Antananarivo,,37.19
ASSET-0051,borehole,5.30904,37.658817,2012-07-08,2014-09-11,critical,high,Maputo,106,
ASSET-0052,solar_system,11.131258,27.947079,2006-01-14,2011-08-11,offline,medium,Harare,,38.77
ASSET-0053,solar_system,12.722738,36.513418,2021-02-10,2023-05-07,operational,low,Mogadishu,,33.32
ASSET-0054,borehole,10.568408,29.376823,2020-08-10,2023-08-05,operational,medium,Kigali,35,
ASSET-0055,solar_system,11.028332,38.351555,2017-07-15,2021-03-05,offline,high,Addis Ababa,,31.21
ASSET-0056,solar_system,3.918272,28.183158,2015-08-25,2020-10-10,operational,low,Mwanza,,32.43
ASSET-0057,solar_system,0.491949,26.549667,2011-05-30,2016-09-30,operational,medium,Harare,,27.7
ASSET-0058,borehole,-0.37477,38.878996,2020-11-04,2022-02-15,operational,medium,Addis Ababa,89,
ASSET-0059,solar_system,-3.754686,41.657823,2013-09-26,2023-12-19,critical,high,Mogadishu,,2.45
ASSET-0060,solar_system,-4.882078,32.035176,2021-11-25,2023-01-28,critical,high,Dodoma,,21.82
ASSET-0061,borehole,-0.611567,33.71672,2005-08-26,2014-06-15,operational,medium,Dodoma,71,
ASSET-0062,borehole,13.390832,44.61444,2016-12-24,2017-05-13,offline,medium,Antananarivo,104,
ASSET-0063,borehole,7.854993,27.71399,2015-05-11,2017-06-23,operational,medium,Dar es Salaam,47,
ASSET-0064,solar_system,1.750011,42.5928,2011-03-30,2020-10-11,operational,low,Bujumbura,,2.44
ASSET-0065,borehole,-0.515557,26.372367,2019-08-15,2019-12-05,critical,high,Asmara,45,
ASSET-0066,borehole,-1.952353,27.524419,2020-01-07,2020-09-27,degraded,low,Mombasa,109,
ASSET-0067,solar_system,-1.644217,37.14495,2021-10-11,2023-11-15,operational,high,Asmara,,48.29
ASSET-0068,borehole,-4.486431,31.239145,2020-03-11,2022-05-18,operational,medium,Kisumu,29,
ASSET-0069,borehole,8.94386,31.031654,2020-05-07,2023-10-18,critical,high,Kigali,92,
ASSET-0070,borehole,5.654905,38.230427,2006-07-19,2017-12-22,degraded,low,Asmara,73,
ASSET-0071,solar_system,3.670468,32.243761,2015-04-25,2023-04-30,operational,low,Kigali,,26.8
ASSET-0072,solar_system,11.163984,35.763458,2015-11-05,2021-02-20,operational,medium,Mombasa,,14.52
ASSET-0073,borehole,0.578565,34.01604,2021-10-31,2023-03-20,degraded,medium,Dar es Salaam,63,
ASSET-0074,borehole,12.019057,28.636797,2009-10-04,2017-10-18,critical,medium,Dodoma,96,
ASSET-0075,solar_system,-4.796978,43.961252,2006-12-03,2012-06-01,degraded,medium,Mwanza,,38.27
ASSET-0076,solar_system,3.963491,25.344865,2011-08-08,2016-08-26,operational,low,Dodoma,,33.7
ASSET-0077,solar_system,6.069459,31.875148,2021-09-24,2023-05-10,operational,medium,Dodoma,,14.64
ASSET-0078,solar_system,-2.586882,28.851686,2007-09-07,2019-10-13,offline,medium,Harare,,10.79
ASSET-0079,solar_system,9.4917,44.53214,2016-10-07,2023-07-17,operational,low,Lilongwe,,10.91
ASSET-0080,borehole,-1.411169,25.282967,2016-12-24,2018-06-25,operational,high,Asmara,90,
ASSET-0081,solar_system,7.757393,40.055844,2007-04-21,2007-08-29,degraded,medium,Addis Ababa,,22.86
ASSET-0082,borehole,0.049568,42.234459,2007-07-24,2009-02-08,operational,low,Kampala,100,
ASSET-0083,borehole,-2.016048,36.256792,2011-10-26,2013-10-22,offline,low,Addis Ababa,117,
ASSET-0084,solar_system,6.922537,37.368367,2022-05-26,2023-12-12,operational,high,Mombasa,,15.92
ASSET-0085,solar_system,6.372589,26.204606,2021-08-07,2021-12-16,offline,low,Maputo,,11.73
ASSET-0086,borehole,-0.202696,36.039845,2008-07-06,2008-08-26,operational,medium,Juba,80,
ASSET-0087,solar_system,-0.370475,39.139117,2020-10-07,2023-05-24,operational,low,Kampala,,14.33
ASSET-0088,borehole,-2.704474,29.496189,2008-05-05,2014-05-20,critical,low,Mogadishu,41,
ASSET-0089,solar_system,9.979154,36.384141,2011-06-23,2021-05-28,operational,medium,Mombasa,,35.44
ASSET-0090,solar_system,5.799631,33.755177,2018-06-01,2018-09-20,critical,medium,Entebbe,,30.78
ASSET-0091,borehole,-0.421512,38.485967,2017-11-26,2018-03-20,offline,medium,Dar es Salaam,54,
ASSET-0092,borehole,4.410016,38.03019,2011-03-29,2015-05-23,offline,medium,Juba,82,
ASSET-0093,borehole,1.959221,31.666168,2020-01-12,2020-09-12,critical,medium,Dodoma,108,
ASSET-0094,solar_system,8.251671,33.009045,2022-01-22,2023-09-07,operational,low,Maputo,,13.74
ASSET-0095,borehole,12.298212,41.498544,2005-01-10,2019-11-10,critical,medium,Djibouti City,26,
ASSET-0096,borehole,2.235587,40.128863,2019-01-11,2021-08-03,critical,low,Entebbe,90,
ASSET-0097,borehole,3.762322,38.965001,2007-09-22,2008-06-14,offline,medium,Maputo,50,
ASSET-0098,borehole,6.01678,36.045028,2007-02-03,2012-03-18,offline,high,Maputo,79,
ASSET-0099,borehole,4.96751,39.332067,2016-05-31,2019-07-24,operational,medium,Addis Ababa,80,
ASSET-0100,borehole,6.025302,32.67172,2018-06-12,2021-05-17,degraded,low,Antananarivo,28,
ASSET-0101,solar_system,1.797505,40.754348,2010-12-29,2011-02-18,operational,low,Mogadishu,,29.97
ASSET-0102,solar_system,3.930948,34.686828,2012-06-16,2020-12-31,operational,medium,Addis Ababa,,10.65
ASSET-0103,borehole,2.659417,42.12026,2014-03-20,2014-10-14,operational,medium,Kisumu,68,
ASSET-0104,solar_system,4.906573,25.740392,2016-04-07,2022-12-19,operational,low,Addis Ababa,,42.48
ASSET-0105,borehole,13.208834,25.306952,2008-03-26,2017-07-05,critical,high,Entebbe,29,
ASSET-0106,solar_system,1.771225,38.854092,2019-07-30,2020-02-09,critical,high,Lilongwe,,43.18
ASSET-0107,solar_system,7.535984,42.748774,2015-12-12,2022-02-04,operational,low,Bujumbura,,32.11
ASSET-0108,solar_system,9.935327,33.679429,2007-03-18,2021-07-03,degraded,low,Harare,,9.57
ASSET-0109,solar_system,-4.080181,40.922869,2011-08-01,2019-09-14,operational,low,Nairobi,,27.26
ASSET-0110,borehole,-1.498613,37.189836,2013-07-31,2020-08-11,degraded,medium,Juba,94,
ASSET-0111,borehole,4.222998,30.079547,2010-09-23,2011-01-07,critical,medium,Harare,56,
ASSET-0112,borehole,3.834596,31.911312,2018-03-07,2021-08-13,degraded,medium,Dar es Salaam,52,
ASSET-0113,solar_system,-1.01566,32.693865,2015-11-03,2017-02-11,operational,medium,Maputo,,29.38
ASSET-0114,solar_system,14.55889,38.164596,2011-02-27,2011-06-03,degraded,medium,Nairobi,,37.62
ASSET-0115,borehole,9.903443,41.656778,2011-06-03,2016-08-30,degraded,medium,Mombasa,101,
ASSET-0116,borehole,0.012536,40.111546,2022-03-20,2022-09-06,degraded,high,Mombasa,102,
ASSET-0117,borehole,10.77221,25.667291,2013-03-08,2021-06-23,operational,high,Maputo,61,
ASSET-0118,solar_system,-0.984104,40.730256,2013-03-17,2019-03-30,degraded,low,Juba,,9.48
ASSET-0119,solar_system,9.931187,31.774305,2007-08-02,2018-03-03,offline,low,Maputo,,48.38
ASSET-0120,solar_system,2.315501,40.813639,2005-04-25,2011-04-30,degraded,medium,Mwanza,,34.13
ASSET-0121,solar_system,2.62051,37.770985,2013-05-02,2014-08-18,degraded,medium,Kisumu,,31.55
ASSET-0122,solar_system,-0.572656,26.264341,2015-06-01,2023-05-11,operational,medium,Mombasa,,8.28
ASSET-0123,borehole,14.918547,27.32241,2010-04-08,2022-05-28,operational,medium,Maputo,105,
ASSET-0124,solar_system,9.84538,28.090458,2014-04-22,2021-09-24,operational,medium,Kisumu,,21.29
ASSET-0125,solar_system,8.805613,29.345394,2014-12-22,2017-09-14,critical,low,Kampala,,34.76
ASSET-0126,solar_system,2.962793,28.796171,2007-09-28,2018-01-08,operational,low,Kampala,,32.52
ASSET-0127,borehole,10.735892,29.871378,2007-10-29,2020-07-27,operational,high,Kampala,90,
ASSET-0128,borehole,-0.680973,42.393909,2012-05-15,2015-10-05,critical,medium,Kisumu,55,
ASSET-0129,borehole,5.804309,40.970276,2007-06-20,2022-05-17,critical,low,Addis Ababa,65,
ASSET-0130,borehole,1.475429,28.484924,2006-03-06,2009-02-06,degraded,medium,Kisumu,115,
ASSET-0131,borehole,3.965504,32.240779,2018-04-26,2019-01-04,operational,low,Dodoma,98,
ASSET-0132,borehole,1.032607,37.866814,2005-09-13,2007-02-23,offline,high,Entebbe,74,
ASSET-0133,borehole,9.248026,33.871247,2006-10-24,2014-02-12,degraded,low,Dodoma,55,
ASSET-0134,solar_system,14.892555,35.611137,2015-03-06,2020-12-04,degraded,low,Djibouti City,,35.54
ASSET-0135,borehole,4.031098,29.569871,2012-08-08,2022-11-09,operational,medium,Mogadishu,60,
ASSET-0136,solar_system,8.302157,32.48602,2008-06-04,2023-11-29,offline,low,Bujumbura,,41.84
ASSET-0137,borehole,-3.068711,39.77592,2007-12-02,2020-06-23,operational,high,Mogadishu,91,
ASSET-0138,solar_system,3.216173,42.472147,2021-10-30,2023-02-05,critical,medium,Kigali,,48.47
ASSET-0139,solar_system,-2.927989,35.148251,2008-06-21,2023-04-13,operational,high,Asmara,,18.48
ASSET-0140,solar_system,10.252113,36.482,2014-08-17,2020-12-30,offline,high,Kigali,,31.26
ASSET-0141,borehole,13.581686,41.589216,2010-12-31,2011-09-24,operational,medium,Mombasa,59,
ASSET-0142,solar_system,-4.877884,42.397254,2017-09-14,2022-04-12,operational,medium,Asmara,,48.63
ASSET-0143,borehole,-0.697342,33.39665,2012-08-24,2016-04-04,operational,medium,Entebbe,119,
ASSET-0144,borehole,-1.888402,40.088718,2006-02-12,2021-04-25,operational,medium,Kampala,74,
ASSET-0145,solar_system,3.840884,30.463337,2021-12-07,2023-06-14,operational,medium,Mombasa,,15.24
ASSET-0146,solar_system,8.342651,25.908347,2013-11-12,2020-08-31,operational,low,Entebbe,,47.35
ASSET-0147,borehole,0.788943,27.399687,2016-02-27,2021-01-24,operational,medium,Lilongwe,110,
ASSET-0148,borehole,6.174471,38.360963,2012-12-11,2013-11-01,operational,medium,Entebbe,75,
ASSET-0149,borehole,13.423249,42.2422,2017-11-30,2022-10-23,degraded,medium,Antananarivo,73,
ASSET-0150,solar_system,3.100646,44.323994,2008-11-08,2022-10-19,operational,medium,Kigali,,19.05
ASSET-0151,solar_system,-0.133671,36.777426,2016-10-02,2017-09-19,operational,medium,Kigali,,17.97
ASSET-0152,solar_system,-3.472412,37.664493,2016-11-25,2022-09-13,operational,high,Juba,,18.53
ASSET-0153,borehole,-2.943909,30.119364,2008-11-22,2022-06-26,operational,high,Harare,29,
ASSET-0154,borehole,4.279061,36.27471,2017-12-31,2023-02-11,degraded,high,Dodoma,102,
ASSET-0155,solar_system,-1.980852,26.365725,2014-12-02,2022-01-30,operational,low,Bujumbura,,4.22
ASSET-0156,borehole,4.23485,25.752145,2013-04-09,2022-09-05,operational,medium,Maputo,31,
ASSET-0157,solar_system,6.606588,44.08463,2021-07-29,2021-10-09,operational,high,Antananarivo,,33.11
ASSET-0158,solar_system,4.512581,28.017222,2006-05-22,2016-07-28,operational,high,Mombasa,,18.16
ASSET-0159,borehole,7.922542,25.782843,2020-11-14,2023-05-29,offline,medium,Entebbe,98,
ASSET-0160,borehole,2.45704,30.657872,2014-03-03,2022-12-08,operational,medium,Asmara,100,
ASSET-0161,solar_system,1.593815,36.159264,2013-09-02,2016-12-08,operational,high,Dar es Salaam,,48.27
ASSET-0162,borehole,-3.36996,38.272242,2012-11-05,2016-05-28,offline,medium,Bujumbura,70,
ASSET-0163,borehole,9.17668,26.69438,2017-07-15,2021-11-03,degraded,medium,Mombasa,36,
ASSET-0164,borehole,5.16977,25.364611,2011-12-06,2016-01-20,offline,medium,Mogadishu,118,
ASSET-0165,solar_system,-0.469139,27.751307,2006-09-25,2013-06-13,critical,low,Lusaka,,38.89
ASSET-0166,borehole,12.527855,37.360629,2018-05-25,2020-08-03,operational,low,Bujumbura,108,
ASSET-0167,borehole,-4.126151,32.285988,2021-02-20,2021-11-20,offline,medium,Antananarivo,116,
ASSET-0168,solar_system,5.680223,31.189358,2022-08-05,2023-05-02,offline,low,Harare,,34.4
ASSET-0169,solar_system,10.388771,40.562481,2016-04-12,2022-04-11,operational,low,Antananarivo,,11.19
ASSET-0170,borehole,-3.956404,34.611813,2013-04-29,2019-08-17,offline,medium,Lilongwe,86,
ASSET-0171,borehole,-3.322497,28.206247,2015-01-29,2020-11-30,operational,medium,Maputo,48,
ASSET-0172,solar_system,13.609439,33.297938,2013-11-22,2019-08-09,operational,medium,Asmara,,5.46
ASSET-0173,borehole,1.373698,26.981662,2021-01-11,2022-12-28,critical,low,Nairobi,56,
ASSET-0174,solar_system,10.176823,34.382203,2018-10-20,2018-11-29,offline,low,Addis Ababa,,11.96
ASSET-0175,borehole,13.804519,37.177602,2014-06-30,2015-10-28,critical,low,Mwanza,35,
ASSET-0176,borehole,3.396511,40.877982,2015-04-03,2016-01-15,operational,high,Harare,96,
ASSET-0177,borehole,6.500949,39.370887,2011-07-15,2021-03-30,operational,medium,Entebbe,93,
ASSET-0178,solar_system,8.287426,26.712279,2013-02-02,2013-12-06,offline,medium,Juba,,39.64
ASSET-0179,borehole,12.466629,25.870689,2013-09-05,2017-12-12,operational,low,Djibouti City,120,
ASSET-0180,borehole,-0.177482,38.142088,2007-04-30,2020-06-16,degraded,medium,Asmara,25,
ASSET-0181,solar_system,1.770945,37.855912,2022-06-23,2023-11-10,offline,medium,Mwanza,,10.34
ASSET-0182,borehole,9.320901,43.872103,2005-10-30,2012-06-28,operational,high,Dar es Salaam,25,
ASSET-0183,solar_system,5.307672,44.782454,2017-03-07,2022-07-28,operational,high,Maputo,,10.77
ASSET-0184,solar_system,12.315966,31.638494,2007-10-17,2016-02-16,operational,medium,Kampala,,22.83
ASSET-0185,solar_system,14.474472,34.924065,2016-02-28,2020-05-11,offline,medium,Bujumbura,,40.36
ASSET-0186,solar_system,3.612143,44.901963,2009-01-18,2021-05-13,operational,low,Dar es Salaam,,17.4
ASSET-0187,solar_system,3.918315,39.353258,2008-09-27,2018-10-11,operational,low,Maputo,,43.7
ASSET-0188,solar_system,14.963012,30.491107,2022-10-02,2022-11-30,operational,medium,Mombasa,,19.12
ASSET-0189,borehole,-2.144411,37.151458,2022-07-11,2023-03-22,operational,low,Nairobi,119,
ASSET-0190,solar_system,2.657088,36.344893,2018-07-28,2019-07-07,degraded,high,Asmara,,19.54
ASSET-0191,borehole,-2.246098,32.338999,2012-01-20,2018-05-21,operational,low,Kisumu,114,
ASSET-0192,borehole,5.354905,43.27085,2007-08-23,2013-08-05,critical,medium,Dodoma,47,
ASSET-0193,solar_system,-0.996433,27.714568,2006-08-30,2016-11-18,operational,medium,Dodoma,,49.87
ASSET-0194,solar_system,9.19081,35.999943,2011-07-07,2018-04-28,critical,medium,Asmara,,46.48
ASSET-0195,borehole,5.175115,27.427249,2009-07-05,2012-09-14,operational,medium,Asmara,66,
ASSET-0196,solar_system,11.073235,36.032939,2018-09-23,2023-10-07,operational,medium,Antananarivo,,49.98
ASSET-0197,solar_system,3.215902,33.188671,2017-11-23,2018-10-21,operational,medium,Entebbe,,5.1
ASSET-0198,solar_system,1.890296,42.559203,2022-07-02,2023-02-03,critical,low,Entebbe,,25.89
ASSET-0199,borehole,5.362043,31.082491,2008-08-19,2015-12-14,offline,low,Kigali,86,
ASSET-0200,solar_system,0.012106,37.701142,2017-05-10,2020-07-07,operational,medium,Dar es Salaam,,27.37
ASSET-0201,borehole,13.83214,28.083885,2019-10-11,2023-05-11,degraded,medium,Kisumu,92,
ASSET-0202,borehole,-3.375543,43.970937,2022-04-18,2023-12-29,operational,low,Nairobi,93,
ASSET-0203,solar_system,7.779824,34.960761,2019-01-25,2022-03-17,operational,high,Mombasa,,24.92
ASSET-0204,solar_system,4.070883,38.772271,2008-07-18,2018-06-27,operational,medium,Maputo,,18.0
ASSET-0205,borehole,12.229702,31.386328,2012-09-30,2023-10-08,operational,high,Bujumbura,85,
ASSET-0206,borehole,-0.165243,27.450438,2015-02-01,2017-12-12,operational,low,Bujumbura,69,
ASSET-0207,solar_system,14.253717,43.046217,2012-05-06,2019-06-10,operational,low,Harare,,49.8
ASSET-0208,solar_system,12.581513,34.947405,2007-01-08,2015-12-03,degraded,high,Dodoma,,11.93
ASSET-0209,solar_system,-3.989192,34.897884,2019-09-04,2023-07-12,operational,medium,Kampala,,42.59
